DefaultSC.UTCGregorian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   
01 Jan 2000 11:59:28.000   7100                        0                           1300                        
01 Jan 2000 12:00:28.000   7086.464536250401           440.7200320631393           1357.477178439191           
01 Jan 2000 12:02:02.750   7010.331731672553           1132.626789916075           1437.637441490507           
01 Jan 2000 12:03:42.696   6858.55500560167            1850.813977637369           1507.484318559222           
01 Jan 2000 12:05:23.567   6633.071450024545           2556.122475661022           1562.043941950367           
01 Jan 2000 12:07:04.858   6336.42962564223            3237.300012633335           1600.252028067149           
01 Jan 2000 12:08:46.492   5971.637392728052           3886.484503514537           1621.590340635348           
01 Jan 2000 12:10:28.441   5542.397218440525           4496.473483789118           1625.758394597004           
01 Jan 2000 12:12:10.676   5053.151573387753           5060.47237165406            1612.647547405607           
01 Jan 2000 12:13:53.167   4509.040890221498           5572.164446023599           1582.342798714313           
01 Jan 2000 12:15:35.881   3915.854907628955           6025.783064506055           1535.123671834773           
01 Jan 2000 12:17:18.782   3279.968836830741           6416.187198164901           1471.462750949731           
01 Jan 2000 12:19:01.833   2608.282225292752           6738.923918978228           1392.02293030266            
01 Jan 2000 12:20:44.993   1908.124223952415           6990.297607441262           1297.64939988775            
01 Jan 2000 12:22:28.223   1187.180140500223           7167.413109599173           1189.361988243296           
01 Jan 2000 12:24:11.480   453.4037312833364           7268.218113181732           1068.344772414902           
01 Jan 2000 12:25:54.720   -285.0922659212023          7291.536363670502           935.9304393124023           
01 Jan 2000 12:27:37.905   -1020.143217839732          7237.081536022997           793.582447299184            
01 Jan 2000 12:29:20.992   -1743.614621377259          7105.460225322345           642.8803031556056           
01 Jan 2000 12:31:03.941   -2447.498981941433          6898.169300363593           485.5013396030591           
01 Jan 2000 12:32:46.712   -3124.033888542208          6617.57296997138            323.1958396602145           
01 Jan 2000 12:34:29.268   -3765.780239302977          6266.875855893699           157.768930006098            
01 Jan 2000 12:36:11.577   -4365.744737243702          5850.060322608251           -8.950509068712439          
01 Jan 2000 12:37:53.607   -4917.412596097324          5371.859807828325           -175.119563891378           
01 Jan 2000 12:39:35.331   -5414.858607667419          4837.675121241078           -338.9131364565586          
01 Jan 2000 12:41:16.724   -5852.798102277699          4253.512567958021           -498.541794377591           
01 Jan 2000 12:42:57.765   -6226.647385436746          3625.901786873164           -652.2741103640639          
01 Jan 2000 12:44:38.437   -6532.565212969211          2961.819643190553           -798.4546950713192          
01 Jan 2000 12:46:18.729   -6767.494646397548          2268.590199747386           -935.525536674794           
01 Jan 2000 12:47:58.630   -6929.180061678197          1553.810653666136           -1062.039250985323          
01 Jan 2000 12:49:38.137   -7016.18577975316           825.2483822078043           -1176.676535606171          
01 Jan 2000 12:51:17.250   -7027.896552454735          90.75171547606843           -1278.258420369295          
01 Jan 2000 12:52:55.973   -6964.511063141727          -641.8205243403213          -1365.754683612316          
01 Jan 2000 12:54:34.314   -6827.026843256978          -1364.708834626068          -1438.296006091624          
01 Jan 2000 12:56:12.285   -6617.21755773609           -2070.312668051598          -1495.177918001382          
01 Jan 2000 12:57:49.900   -6337.598825401228          -2751.28432627747           -1535.867261810899          
01 Jan 2000 12:59:27.182   -5991.386499146173          -3400.599401530673          -1560.004080808222          
01 Jan 2000 13:01:04.150   -5582.466651405349          -4011.597846955952          -1567.40167641006           
01 Jan 2000 13:02:40.831   -5115.324758552307          -4578.083664042179          -1558.047075165145          
01 Jan 2000 13:04:17.254   -4595.003953208753          -5094.353065997606          -1532.097155983232          
01 Jan 2000 13:05:53.451   -4027.052472261096          -5555.24176744084           -1489.875366545973          
01 Jan 2000 13:07:29.453   -3417.454016661603          -5956.176729273469          -1431.865885405764          
01 Jan 2000 13:09:05.297   -2772.573179247399          -6293.204555726698          -1358.707389560308          
01 Jan 2000 13:10:41.020   -2099.088986800976          -6563.023506100352          -1271.185113468092          
01 Jan 2000 13:12:16.659   -1403.931267740538          -6763.006138282559          -1170.22215236228           
01 Jan 2000 13:12:30.729   -1300.224702271626          -6786.416128967142          -1154.290995989789          
01 Jan 2000 13:13:30.729   -725.1595127734155          -6896.96937692364           -1063.346112091407          
01 Jan 2000 13:14:58.131   117.2764971332699           -7006.729073867476          -923.0594851797895          
01 Jan 2000 13:16:30.261   1004.094440591079           -7057.113018019661          -766.5747359957093          
01 Jan 2000 13:18:04.694   1903.536125613482           -7041.598375311283          -598.8623171601072          
01 Jan 2000 13:19:44.776   2837.907900798195           -6955.609034571039          -415.2014722932904          
01 Jan 2000 13:21:33.057   3818.837266458337           -6789.349350024501          -212.1337232738384          
01 Jan 2000 13:23:17.810   4732.122851186016           -6564.539168844568          -13.62412664202998          
01 Jan 2000 13:25:00.205   5587.221640669389           -6292.280785420337          180.5676181955254           
01 Jan 2000 13:26:43.955   6413.763481540746           -5971.373485789593          376.057535964353            
01 Jan 2000 13:28:31.516   7227.666964254523           -5598.573512719137          576.2126437866252           
01 Jan 2000 13:30:24.790   8037.981252858546           -5169.668296252086          783.2657066639035           
01 Jan 2000 13:32:25.575   8850.715474971023           -4679.318283745102          999.0416345053783           
01 Jan 2000 13:34:35.714   9669.917787055492           -4121.135290253129          1225.145552648196           
01 Jan 2000 13:36:57.214   10498.23641769065           -3487.642502938159          1463.071459974465           
01 Jan 2000 13:39:32.147   11336.16126584488           -2771.097563185903          1713.951601522294           
01 Jan 2000 13:42:22.411   12180.92452382464           -1965.072987175893          1978.141059663081           
01 Jan 2000 13:45:29.424   13025.82569051092           -1066.391335143858          2254.832793891051           
01 Jan 2000 13:48:54.214   13861.91940115407           -74.98783583841498          2542.387137454464           
01 Jan 2000 13:52:38.170   14681.66842903158           1009.718621666257           2839.493553480203           
01 Jan 2000 13:56:43.537   15479.88812929128           2191.258965080153           3145.672323149778           
01 Jan 2000 14:01:13.589   16252.74480787608           3476.703406290262           3461.169349960978           
01 Jan 2000 14:06:12.637   16996.17326897056           4876.102029758314           3786.589252121752           
01 Jan 2000 14:11:46.108   17704.64509174214           6401.962632371519           4122.598109740249           
01 Jan 2000 14:18:01.014   18370.62345303374           8070.15177553096            4469.944374256438           
01 Jan 2000 14:24:55.586   18969.39964225035           9854.346800809142           4820.531451749587           
01 Jan 2000 14:32:28.307   19482.3885674177            11729.56057242628           5167.570878094507           
01 Jan 2000 14:40:42.952   19899.61088483878           13692.18443439587           5508.738677300209           
01 Jan 2000 14:49:44.140   20210.10149893612           15739.02651216736           5841.585425275469           
01 Jan 2000 14:59:36.899   20401.1180192359            17864.81211576241           6163.053814825574           
01 Jan 2000 15:10:26.653   20458.09591346631           20061.49511898042           6469.377665936065           
01 Jan 2000 15:22:19.190   20364.66882017593           22317.48215897195           6755.98119915239            
01 Jan 2000 15:35:20.435   20102.85111632775           24616.24297239762           7017.325529194207           
01 Jan 2000 15:49:36.201   19653.52137189871           26935.11450101436           7246.836679309841           
01 Jan 2000 16:05:11.446   18997.55271833814           29243.16794983656           7436.826568651226           
01 Jan 2000 16:22:09.448   18117.69098613014           31499.94526362453           7578.668823692185           
01 Jan 2000 16:40:30.670   17001.34358031065           33654.84704004939           7663.230073495998           
01 Jan 2000 17:00:13.028   15642.2811397999            35650.57526048392           7681.64702203341            
01 Jan 2000 17:21:13.340   14040.1431561373            37427.72643294791           7625.853920055261           
01 Jan 2000 17:43:29.833   12197.19563609117           38927.97464644891           7488.413966046925           
01 Jan 2000 18:07:04.774   10113.61918412888           40092.62185870689           7261.456139966877           
01 Jan 2000 18:32:07.089   7782.317443919376           40855.37461206356           6934.74620267074            
01 Jan 2000 18:32:14.278   7770.913427744653           40857.84945830157           6932.97885744354            
01 Jan 2000 18:33:14.278   7592.127315670902           40896.14994753712           6905.204181687262           
01 Jan 2000 18:36:20.038   7037.698985757969           41009.76108332717           6818.377902271811           
01 Jan 2000 18:45:40.550   5357.357226680078           41306.88410016836           6548.870995243477           
01 Jan 2000 19:07:06.039   1474.427433298537           41727.13075215901           5890.228211493503           
01 Jan 2000 19:30:25.243   -2765.553805643605          41768.13695211575           5114.747257002052           
01 Jan 2000 19:53:57.990   -7017.262128024985          41368.97659249428           4277.832884430559           
01 Jan 2000 20:17:32.532   -11199.87732016663          40530.22036740664           3394.449650766608           
01 Jan 2000 20:41:07.653   -15265.25066542309          39260.65853843347           2474.650923741817           
01 Jan 2000 21:04:43.279   -19169.94953537677          37573.6685042445            1528.239092200082           
01 Jan 2000 21:28:19.531   -22872.78462510321          35486.8931051779            565.1777138323018           
01 Jan 2000 21:51:56.497   -26334.58149618233          33022.19911272723           -404.3720084538956          
01 Jan 2000 22:15:34.251   -29518.64512264149          30205.4550210899            -1370.166733929159          
01 Jan 2000 22:39:12.872   -32391.19402200587          27066.22960629334           -2322.001558021194          
01 Jan 2000 23:02:52.419   -34921.65787947943          23637.54507447604           -3249.798090696851          
01 Jan 2000 23:26:32.959   -37083.06932608582          19955.45961131447           -4143.732849397175          
01 Jan 2000 23:50:14.553   -38852.30287952504          16058.738782956             -4994.325534241287          
02 Jan 2000 00:13:57.249   -40210.32300246201          11988.46449464578           -5792.537389888325          
02 Jan 2000 00:37:41.058   -41142.38303134807          7787.688741186508           -6529.854485561006          
02 Jan 2000 01:01:25.977   -41638.23615596318          3500.936150223577           -7198.393573794587          
02 Jan 2000 01:25:12.046   -41692.26008609168          -826.4565849575524          -7791.014010724             
02 Jan 2000 01:48:59.253   -41303.48398636771          -5148.527424913649          -8301.347869787391          
02 Jan 2000 02:12:47.559   -40475.6608815146           -9419.23115088633           -8723.88629022151           
02 Jan 2000 02:36:36.924   -39217.23737556642          -13593.03884827924          -9054.054625559142          
02 Jan 2000 03:00:27.311   -37541.26029746053          -17625.41401653981          -9288.259359731817          
02 Jan 2000 03:24:18.692   -35465.22067990343          -21473.31079546364          -9423.926455337576          
02 Jan 2000 03:48:10.981   -33010.981550974            -25095.45320194223          -9459.525653755916          
02 Jan 2000 04:12:04.103   -30204.47265813128          -28452.98407534847          -9394.601618947791          
02 Jan 2000 04:35:57.974   -27075.44387252015          -31509.8312388232           -9229.777813450131          
02 Jan 2000 04:59:52.513   -23657.12337655353          -34233.12801323736          -8966.75015065255           
02 Jan 2000 05:23:47.602   -19985.96894821017          -36593.49841711373          -8608.279575776667          
02 Jan 2000 05:47:43.134   -16101.16757724036          -38565.48717529469          -8158.157781876916          
02 Jan 2000 06:11:39.015   -12044.19272302237          -40127.82538252619          -7621.161414329655          
02 Jan 2000 06:35:35.113   -7858.504118784381          -41263.60761704198          -7003.020610243063          
02 Jan 2000 06:59:31.331   -3588.875672814954          -41960.55845964784          -6310.331064171014          
02 Jan 2000 07:23:27.534   718.8845494847212           -42211.11544612562          -5550.513603503855          
02 Jan 2000 07:47:23.617   5018.637134354672           -42012.55205911667          -4731.701269325316          
02 Jan 2000 08:11:19.450   9264.239429474454           -41366.99675335815          -3862.681422908677          
02 Jan 2000 08:35:14.962   13410.30588120509           -40281.37520213339          -2952.747891117074          
02 Jan 2000 08:59:09.999   17412.27903777384           -38767.42203733285          -2011.689452995512          
02 Jan 2000 09:23:04.456   21227.31565469081           -36841.47922733363          -1049.599444909466          
02 Jan 2000 09:46:58.241   24814.63408335066           -34524.31347131646          -76.78716534580248          
02 Jan 2000 10:10:51.287   28135.96685548805           -31840.85994355382          896.3400151294696           
02 Jan 2000 10:34:43.498   31155.8640230681            -28820.03238300746          1859.35811847946            
02 Jan 2000 10:58:34.778   33842.1495411583            -25494.38315396187          2801.956415876531           
02 Jan 2000 11:22:25.073   36166.34193977787           -21899.63978669272          3714.077335250436           
02 Jan 2000 11:46:14.342   38103.8816753319            -18074.35560135755          4586.005395992874           
02 Jan 2000 12:10:02.543   39634.36429176348           -14059.53292136495          5408.460903647209           
02 Jan 2000 12:33:49.629   40741.76654167296           -9898.186452692991          6172.700402417205           
02 Jan 2000 12:57:35.575   41414.63494724139           -5634.812626121097          6870.622867393346           
02 Jan 2000 13:21:20.380   41646.18378384748           -1314.873877028407          7494.857198190259           
02 Jan 2000 13:45:04.063   41434.33076835321           3015.653529760187           8038.829680146885           
02 Jan 2000 14:08:46.633   40781.71066780423           7310.707927069569           8496.824179518068           
02 Jan 2000 14:32:28.131   39695.62693513984           11524.7320695966            8864.052648392468           
02 Jan 2000 14:56:08.564   38188.00679348852           15612.97772496494           9136.687863705633           
02 Jan 2000 15:19:48.021   36275.14810236061           19532.31656682365           9311.925966109729           
02 Jan 2000 15:43:26.543   33977.66997311914           23241.29480725614           9387.984721547726           
02 Jan 2000 16:07:04.196   31320.20432723641           26700.80090316085           9364.1365906918             
02 Jan 2000 16:30:41.068   28331.11194764392           29874.44315219651           9240.707252498605           
02 Jan 2000 16:54:17.251   25042.21003421654           32728.86801597676           9019.068265790445           
02 Jan 2000 17:17:52.831   21488.45252068095           35234.09725901143           8701.623559388343           
02 Jan 2000 17:41:27.928   17707.46367255318           37363.89818231061           8291.773345692955           
02 Jan 2000 18:05:02.626   13739.31797219415           39095.93641254262           7793.894132759221           
02 Jan 2000 18:28:37.045   9625.928207682306           40412.11496022894           7213.271630315307           
02 Jan 2000 18:32:14.278   8984.000022022938           40576.49919411371           7117.138972181758           
